edinet_code,name,syoken_code,security_code
E00317,株式会社安藤・間,17190,1719
E00320,第一カッター興業株式会社,17160,1716
E00322,コムシスホールディングス株式会社,17210,1721
E00323,株式会社エムビーエス,14010,1401
E00327,株式会社ウエストホールディングス,14070,1407
E00329,ショーボンドホールディングス株式会社,14140,1414
E00331,森永乳業株式会社,22640,2264
E00334,日本ハム株式会社,22820,2282
E00335,プリマハム株式会社,22810,2281
E00337,六甲バター株式会社,22660,2266
E00341,福留ハム株式会社,22910,2291
E00342,エスフーズ株式会社,22920,2292
E00343,滝沢ハム株式会社,22930,2293
E00344,株式会社秋川牧園,13800,1380
E00345,株式会社ニップン,20010,2001
E00346,株式会社日清製粉グループ本社,20020,2002
E00347,日東富士製粉株式会社,20030,2003
E00348,昭和産業株式会社,20040,2004
E00351,鳥越製粉株式会社,20090,2009
E00354,東洋精糖株式会社,21070,2107
E00355,日本甜菜製糖株式会社,21080,2108
E00356,ＤＭ三井製糖ホールディングス株式会社,21090,2109
E00360,フジ日本精糖株式会社,21140,2114
E00361,塩水港精糖株式会社,21120,2112
E00369,森永製菓株式会社,22010,2201
E00371,井村屋グループ株式会社,22090,2209
E00372,株式会社中村屋,22040,2204
E00373,江崎グリコ株式会社,22060,2206
E00374,株式会社不二家,22110,2211
E00375,山崎製パン株式会社,22120,2212
E00376,名糖産業株式会社,22070,2207
E00377,第一屋製パン株式会社,22150,2215
E00378,カンロ株式会社,22160,2216
E00380,株式会社ブルボン,22080,2208
E00381,モロゾフ株式会社,22170,2217
E00382,日糧製パン株式会社,22180,2218
E00385,亀田製菓株式会社,22200,2220
E00386,岩塚製菓株式会社,22210,2221
E00387,寿スピリッツ株式会社,22220,2222
E00388,株式会社コモ,22240,2224
E00389,株式会社湖池屋,22260,2226
E00390,ヒロタグループホールディングス株式会社,33460,3346
E00393,サッポロホールディングス株式会社,25010,2501
E00394,アサヒグループホールディングス株式会社,25020,2502
E00395,キリンホールディングス株式会社,25030,2503
E00396,宝ホールディングス株式会社,25310,2531
E00397,オエノンホールディングス株式会社,25330,2533
E00400,養命酒製造株式会社,25400,2540
E00406,株式会社ヤクルト本社,22670,2267
E00408,北海道コカ・コーラボトリング株式会社,25730,2573
E00414,株式会社伊藤園,25930,2593
E00417,コカ・コーラボトラーズジャパンホールディングス株式会社,25790,2579
E00421,ジャパンフーズ株式会社,25990,2599
E00422,マルサンアイ株式会社,25510,2551
E00424,ダイドーグループホールディングス株式会社,25900,2590
E00428,日清オイリオグループ株式会社,26020,2602
E00431,不二製油グループ本社株式会社,26070,2607
E00433,かどや製油株式会社,26120,2612
E00434,株式会社Ｊ－オイルミルズ,26130,2613
E00435,キッコーマン株式会社,28010,2801
E00436,味の素株式会社,28020,2802
E00439,中部飼料株式会社,20530,2053
E00442,日本食品化工株式会社,28920,2892
E00443,林兼産業株式会社,22860,2286
E00444,カゴメ株式会社,28110,2811
E00446,株式会社ニチレイ,28710,2871
E00447,株式会社セイヒョー,28720,2872
E00448,群栄化学工業株式会社,42290,4229
E00452,ヱスビー食品株式会社,28050,2805
E00453,石井食品株式会社,28940,2894
E00454,日和産業株式会社,20550,2055
E00456,ユアサ・フナショク株式会社,80060,8006
E00457,日清食品ホールディングス株式会社,28970,2897
E00458,丸大食品株式会社,22880,2288
E00461,東洋水産株式会社,28750,2875
E00462,ハウス食品グループ本社株式会社,28100,2810
E00464,キユーピー株式会社,28090,2809
E00465,ユタカフーズ株式会社,28060,2806
E00466,ブルドックソース株式会社,28040,2804
E00469,株式会社永谷園ホールディングス,28990,2899
E00471,石垣食品株式会社,29010,2901
E00472,太陽化学株式会社,29020,2902
E00473,シノブフーズ株式会社,29030,2903
E00474,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,22680,2268
E00475,焼津水産化学工業株式会社,28120,2812
E00476,一正蒲鉾株式会社,29040,2904
E00478,和弘食品株式会社,28130,2813
E00480,株式会社あじかん,29070,2907
E00481,フジッコ株式会社,29080,2908
E00482,株式会社ロック・フィールド,29100,2910
E00484,佐藤食品工業株式会社,28140,2814
E00486,アリアケジャパン株式会社,28150,2815
E00487,旭松食品株式会社,29110,2911
E00488,株式会社デルソーレ,28760,2876
E00491,キーコーヒー株式会社,25940,2594
E00492,日本たばこ産業株式会社,29140,2914
E00493,ケンコーマヨネーズ株式会社,29150,2915
E00494,仙波糖化工業株式会社,29160,2916
E00495,株式会社大森屋,29170,2917
E00496,わらべや日洋ホールディングス株式会社,29180,2918
E00497,株式会社　マルタイ,29190,2919
E00498,日東ベスト株式会社,28770,2877
E00501,株式会社ダイショー,28160,2816
E00502,株式会社ヒガシマル,20580,2058
E00503,アヲハタ株式会社,28300,2830
E00505,株式会社ユニカフェ,25970,2597
E00506,株式会社なとり,29220,2922
E00508,はごろもフーズ株式会社,28310,2831
E00510,サトウ食品株式会社,29230,2923
E00511,イフジ産業株式会社,29240,2924
E00513,株式会社ピエトロ,28180,2818
E00514,エバラ食品工業株式会社,28190,2819
E00515,株式会社　篠崎屋,29260,2926
E00518,ＲＩＺＡＰグループ株式会社,29280,2928
E00520,グンゼ株式会社,30020,3002
E00521,ポラリス・ホールディングス株式会社,30100,3010
E00523,ヒューリック株式会社,30030,3003
E00524,片倉工業株式会社,30010,3001
E00525,東洋紡株式会社,31010,3101
E00527,ユニチカ株式会社,31030,3103
E00528,倉敷紡績株式会社,31060,3106
E00529,ダイワボウホールディングス株式会社,31070,3107
E00530,シキボウ株式会社,31090,3109
E00531,オーミケンシ株式会社,31110,3111
E00534,サイボー株式会社,31230,3123
E00540,トヨタ紡織株式会社,31160,3116
E00541,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,31130,3113
E00542,日東紡績株式会社,31100,3110
E00543,富士紡ホールディングス株式会社,31040,3104
E00544,日清紡ホールディングス株式会社,31050,3105
